SKU,Original Rank,Original Selected Listing,Original CPPC Status,Original Shopify UK Listing Status,Original Shopify UK Orders (CSV),Shopify Listing Actual (DB),Shopify Orders Actual (DB),Amazon Orders Actual (DB),eBay Orders Actual (DB),PMax/CPC Actual Status,Verification Result,Error Type,Reason,Evidence Source,Recommended Action
ENC4319,314,FALSE,,Listed not selling,0,ACTIVE (LEDSone + dcvoltage),0 (not found in Shopify orders query),14 Amazon (Dcvoltage+Ledsone),NOT FOUND eBay,NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active but no Shopify UK orders found in DB query sample. Amazon demand confirmed (14 orders).,ledsone-db listings + orders,Verify Shopify orders with full SKU search. Likely genuinely not selling on Shopify UK.
WCCYSQCH2PK+LDMT45E2742PK,298,FALSE,,Not listed on Shopify UK,0,WCCYSQCH2PK ACTIVE (listed 2025-04-11); BUNDLE likely not listed,113 Shopify (WCCYSQCH2PK component),Amazon Ledsone 1 order,led_sone+so_926407,NOT IN PMAX,FAIL,INCORRECT LISTING STATUS + INCORRECT SHOPIFY ORDERS,WCCYSQCH2PK component is active and has 113 Shopify UK orders. Bundle may not be listed but component is highly active.,ledsone-db listings + orders,Clarify if bundle is listed. WCCYSQCH2PK alone is a top Shopify UK seller.
LSMCP1ULMC+ICST64E27,102,FALSE,,Listed not selling,0,LSMCP1ULMC ACTIVE (Vintagelite; 0 qty),1 (LSMCP1ULMC),Amazon Ledsone 5 orders,coventrylights 2 orders,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS,CSV claims 0 but LSMCP1ULMC has 1 Shopify order (DB). Low but not zero.,ledsone-db order_item_info,Minor mismatch. Reclassify Shopify orders to 1.
LDSG95DIE274APK,82,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE,0,Amazon Dcvoltage 6 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,SHOPIFY LISTING UNVERIFIED,Not found in active Shopify UK listings. Marketplace demand confirmed.,ledsone-db listings + orders,Verify listing status. If not listed: listing gap opportunity.
LSMCSQWYBL2PK+RPM40WH2PK,46,FALSE,,Listed not selling,0,COMPONENTS PARTIALLY ACTIVE (LSMCSQWYBL = DRAFT only),0,Amazon Dcvoltage 10 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,LISTING STATUS QUESTIONABLE - COMPONENT IS DRAFT,LSMCSQWYBL only exists as a DRAFT on LEDSone (listed 2026-02-27). Draft = not publicly active. Bundle may not be listed.,ledsone-db listings,Clarify if bundle is a live Shopify product.
LSMCP1ULMC,161,FALSE,,Listed not selling,0,ACTIVE (Vintagelite; 0 qty),1,Amazon Ledsone 3 orders,coventrylights 2 orders,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS,CSV claims 0 but DB shows 1 Shopify UK order (last: 2023-12-12).,ledsone-db order_item_info,Minor mismatch. 1 historic Shopify order. Still a valid PMax candidate given 0 qty stock issue.
LSCY290GY3PK+RPR44WH3PK,59,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED; components may be listed,BUNDLE=0,Amazon Ledsone 9 orders,vintageinterior 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,Bundle SKU not individually verified in listings. Components may be listed.,ledsone-db,Check if bundle is a Shopify product.
ENC4372,317,FALSE,,Listed not selling,0,ACTIVE (LEDSone; listed 2024-07-16),6,Amazon Dcvoltage 2 orders,coventrylights 1 order,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 6 orders (last: 2026-05-09). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING.
ENC641,100,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE IN LISTINGS QUERY,0,24 Amazon (Ledsone+Dcvoltage),17 eBay (led_sone+so_926407),NOT IN PMAX,NEEDS REVIEW,LISTING STATUS UNVERIFIED,Not found in Shopify UK listings query. Amazon and eBay demand confirmed (41+ orders combined). Strong gap opportunity.,ledsone-db,HIGH PRIORITY: verify listing. Strong marketplace demand with no Shopify presence.
LSHM400HE+RPR44WH,2,FALSE,,Not listed on Shopify UK,0,LSHM400HE ACTIVE (LEDSone; 12 Shopify orders),BUNDLE=0 (12 on component),Amazon Dcvoltage 48 orders,led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT SELLING BUT BUNDLE UNLISTED,LSHM400HE is active and selling (12 Shopify orders). Bundle is a different product. Strong demand.,ledsone-db listings + orders,Verify bundle. Component has strong cross-channel demand.
CRFF500BM+WCSN1BM3PK+LDST45E2743PK,178,FALSE,,Not listed on Shopify UK,0,CRFF500BM ACTIVE (LEDSone; 70 Shopify orders),BUNDLE=0 (70 on component),Amazon Dcvoltage 1 order,so_926407 4 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE BUT BUNDLE UNLISTED,CRFF500BM has 70 Shopify UK orders. Bundle is a distinct product not listed.,ledsone-db listings + orders,Verify bundle existence. CRFF500BM individually is a strong seller.
LSMS320BI3PK+RPR44WH3PK,330,FALSE,,Listed not selling,0,BUNDLE STATUS UNVERIFIED; components may be listed,BUNDLE=UNVERIFIED,Amazon Ledsone 1 order,electricalsone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle as Shopify product.
CRSF2003BC+PHSH1PBRYB3PK+LSDO210BC3PK,213,FALSE,,Listed not selling,0,CRSF2003BC ACTIVE (LEDSone + Electricalsone + Vintagelite),5 Shopify (CRSF2003BC component),Amazon Ledsone 3 orders,electricalsone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,CRSF2003BC has 5 Shopify UK orders. Bundle unverified.,ledsone-db listings + orders,Verify bundle existence.
WLRPE27BM2PK,80,FALSE,,Listed not selling,0,ACTIVE (Vintagelite listed 2023-12-05),0 (not in Shopify orders query),Amazon Ledsone 1 order,electricalsone 9 orders,NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active on Vintagelite. No Shopify orders found in query. Amazon/eBay demand modest.,ledsone-db listings + orders,Verify Shopify orders with targeted query. Possible genuine 0 on Shopify.
WCCYSQGD2PK,267,FALSE,,Listed not selling,0,ACTIVE (LEDSone listed 2025-04-11),260,Amazon Ledsone 2 orders,so_926407 1 order,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 260 orders (last: 2026-08-05). This is a TOP SHOPIFY UK SELLER. Status should be SELLING.,ledsone-db order_item_info,CRITICAL MISMATCH. Reclassify as SELLING. Review PMax strategy - already strong on Shopify.
CRSF2003BM+PHHN1PBRGD3PK+LSDO210BI3PK,179,FALSE,,Listed not selling,0,CRSF2003BM ACTIVE (LEDSone + Electricalsone + Vintagelite; 76 Shopify orders),BUNDLE=0 (76 on component),Amazon Dcvoltage 2 orders,led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE BUT BUNDLE UNLISTED,CRSF2003BM has 76 Shopify UK orders.,ledsone-db listings + orders,Verify bundle.
CRSF2003BM+PHRB1PBR40BM3PK+LSBS160GR3PK,153,FALSE,,Not listed on Shopify UK,0,CRSF2003BM ACTIVE (76 Shopify orders on component),BUNDLE=0,Amazon Ledsone 3 orders,led_sone 4 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT ACTIVE BUT BUNDLE UNLISTED,CRSF2003BM component selling. Bundle not listed.,ledsone-db,Verify bundle.
ENC3538,88,FALSE,,Listed not selling,0,ACTIVE (LEDSone + dcvoltage),15,37 Amazon (Dcvoltage+Ledsone),16 eBay (led_sone+electricalsone+coventrylights+so_926407),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 15 orders (last: 2026-07-08). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. Strong cross-channel demand.
ENC9723,296,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE,0,1 Amazon (Ledsone),2 eBay (electricalsone+led_sone),NOT IN PMAX,NEEDS REVIEW,LISTING STATUS UNVERIFIED,Not found in Shopify UK listings. Very low marketplace demand (3 combined orders).,ledsone-db,Low priority. Minimal demand.
LSTF400WH2PK+RPR44WH2PK,144,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 6 orders,electricalsone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle as Shopify product.
CRFF500BM+WCSC1BM3PK,343,FALSE,,Listed not selling,0,CRFF500BM ACTIVE (70 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 1 order,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT ACTIVE BUT BUNDLE UNLISTED,CRFF500BM highly active. Bundle not verified.,ledsone-db,Verify bundle.
PHCT1BMRBM+PHBA1BMRBM+LSYG410YE,151,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 5 orders,led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSEL400OR2PK+RPR44WH2PK,239,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 3 orders,coventrylights 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CKB6820PCBM,171,FALSE,,Listed not selling,0,ACTIVE (LEDSone + BesBet + Vintagelite listed 2023-12),12,16 Amazon (Ledsone+Dcvoltage),1 eBay (electricalsone),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 12 orders (last: 2026-06-10). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING.
LSCY210BG3PK+RPR44WH3PK,40,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 15 orders,vintageinterior 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
PHTT1PBR3BM+LSWT300BM+ICST64E27603PK,133,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 3 orders,led_sone 5 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSEL400GY2PK+RPR44WH2PK,66,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 9 orders,led_sone 4 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
12RPIP454002,42,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE,0,15 Amazon (Dcvoltage+Ledsone),NOT FOUND eBay,NOT IN PMAX,PASS,N/A,Not listed on Shopify UK confirmed. Amazon demand confirmed (15 orders to 2026-08-16). Zero Shopify orders.,ledsone-db listings + orders,HIGH PRIORITY listing gap. List on Shopify UK then select for PMax.
LSCYRO300WH2PK+RPR44WH2PK,10,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 28 orders,electricalsone 3 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
PSOS2HERBM2PK+ICST64E272PK,301,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon SRM Amazon 2 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
WCDCBM4PK+RPR44WH4PK,22,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 23 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CRFF500BM+PHNW1RBM3PK,114,FALSE,,Listed not selling,0,CRFF500BM ACTIVE (70 Shopify orders on component),BUNDLE=0,Amazon Ledsone 8 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT ACTIVE BUT BUNDLE UNLISTED,CRFF500BM component is active and selling.,ledsone-db,Verify bundle.
CRSF100GB+LHNSE27GB+LSRP260GB,311,FALSE,,Listed not selling,0,CRSF100GB ACTIVE (100 Shopify orders on component),BUNDLE=0,Amazon Ledsone 2 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE BUT BUNDLE STATUS UNCLEAR,CRSF100GB has 100 Shopify UK orders.,ledsone-db listings + orders,Verify bundle.
LSCYRO300GD2PK+RPR44WH2PK,11,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 30 orders,so_926407 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSCY290NB2PK+RPR44WH2PK,123,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 7 orders,led_sone 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CRSF100CH+PHCHPCRCH+LSCY290CH,201,FALSE,,Listed not selling,0,CRSF100CH ACTIVE (38 Shopify orders on component),BUNDLE=0,Amazon Ledsone 4 orders,so_926407 2 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,CRSF100CH has 38 Shopify UK orders.,ledsone-db listings + orders,Verify bundle.
LSMS320WH2PK+RPR44WH2PK,50,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 15 orders,coventrylights 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSWE315BU,447,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Electricalsone + Vintagelite),3,NOT FOUND AMAZON,coventrylights 1 order,NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 3 orders (last: 2025-09-17). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. Low volume but not zero.
PHSF1BRTCO3PK,198,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE,0,Amazon Ledsone 5 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,LISTING STATUS UNVERIFIED,Not found in Shopify UK active listings. Marketplace demand modest.,ledsone-db,Verify listing status.
ENC8896,328,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Vintagelite),0,12 Amazon (Dcvoltage+SRM),3 eBay (coventrylights+so_926407),NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,Listed active. No Shopify orders found in query. Amazon has 12 orders. May be genuinely not selling on Shopify.,ledsone-db listings + orders,Verify Shopify orders with targeted query.
LDSG95DIE2745PK,24,FALSE,,Listed not selling,0,DRAFT ONLY (BesBet; listed 2025-08-29),1,NOT FOUND AMAZON UK,electricalsone 3 orders,NOT IN PMAX,FAIL,INCORRECT STATUS (DRAFT NOT ACTIVE) + INCORRECT SHOPIFY ORDERS,CSV says Listed-not-selling but only listing is DRAFT on BesBet. Not publicly active. 1 Shopify order exists in DB.,ledsone-db listings + orders,Reclassify as effectively Not Listed (draft). 1 Shopify order mismatch.
ENC1315,274,FALSE,,Listed not selling,0,ACTIVE (LEDSone + Vintagelite listed 2025-03-11),9,9 Amazon (Ledsone+SRM),31 eBay (so_926407+electricalsone+led_sone),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 9 orders (last: 2025-11-25). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. Active cross-channel demand.
CRFF100GB2PK+LHNSE27GB2PK+ICST64E272PK,232,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED; CRFF100GB2PK components active,BUNDLE=0,Amazon Dcvoltage 4 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSCY290BI2PK+RPR44WH2PK,47,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 16 orders,electricalsone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CRSF100BM2PK+PHRYWP1RBM2PK+ICST64E272PK,132,FALSE,,Listed not selling,0,CRSF100BM ACTIVE (124 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 8 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE,CRSF100BM has 124 Shopify UK orders.,ledsone-db,Verify bundle.
CRFF500BM+PHBK1PBRBA3PK,406,FALSE,,Listed not selling,0,CRFF500BM ACTIVE (70 Shopify orders on component),BUNDLE=0,Amazon Ledsone 1 order,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,COMPONENT ACTIVE,CRFF500BM component selling.,ledsone-db,Verify bundle.
LSMCSPMSMC+RPM40WH,83,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 10 orders,so_926407 3 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSCYRO200GD2PK+RPR44WH2PK,15,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 27 orders,led_sone 3 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
WSDM240BM+WCBNBM2PK,75,FALSE,,Listed not selling,0,WSDM240BM ACTIVE (LEDSone listed 2025-03-04),2 (WSDM240BM component),Amazon Dcvoltage 2 orders,led_sone 15 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HAS SHOPIFY ORDERS,WSDM240BM has 2 Shopify UK orders. Bundle unverified.,ledsone-db listings + orders,Verify bundle.
LSGL15014CL3PK+RPM40WH3PK,134,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 8 orders,electricalsone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
ENC64,352,FALSE,,Listed not selling,0,ACTIVE (dcvoltage listed 2026-01-27; 0 qty),2,8 Amazon (SRM+Ledsone+Dcvoltage),122 eBay (led_sone+others),NOT IN PMAX,FAIL,INCORRECT SHOPIFY ORDERS + INCORRECT STATUS,CSV claims 0 Shopify orders but DB shows 2 orders (last: 2025-02-10). eBay demand is HIGH (122 orders). Status should be SELLING.,ledsone-db order_item_info,Reclassify as SELLING. Strong eBay demand warrants Shopify push.
LSMS320BI2PK+RPR44WH2PK,23,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 25 orders,coventrylights 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
WCCYSP160WH2PK,170,FALSE,,Not listed on Shopify UK,0,NOT FOUND ACTIVE IN LISTINGS QUERY,0,Amazon Dcvoltage 3 orders,so_926407 7 orders,NOT IN PMAX,NEEDS REVIEW,LISTING STATUS UNVERIFIED,Not found in Shopify UK active listings. Marketplace demand confirmed.,ledsone-db,Verify listing. Listing gap opportunity.
LSMS320GY2PK+RPR44WH2PK,25,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 24 orders,coventrylights 2 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSMCSPFLMC+RPR44WH,9,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 36 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSCYRO200WH2PK+RPR44WH2PK,13,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 28 orders,led_sone 4 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
LSCYRO200BM2PK+RPR44WH2PK,20,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 28 orders,so_926407 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CRSF100GB+PHMU1PBRGB+LSDM220GB,218,FALSE,,Listed not selling,0,CRSF100GB ACTIVE (100 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 4 orders,coventrylights 3 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE,CRSF100GB has 100 Shopify UK orders.,ledsone-db,Verify bundle.
CRFF100YB2PK+LHNSE27YB2PK,90,FALSE,,Not listed on Shopify UK,0,BUNDLE NOT VERIFIED,0,Amazon Dcvoltage 10 orders,electricalsone 5 orders,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
CRSF100BM+PHCHPBRGB+LSCY290GB,155,FALSE,,Listed not selling,0,CRSF100BM ACTIVE (124 Shopify orders on component),BUNDLE=0,Amazon Dcvoltage 5 orders,so_926407 4 orders,NOT IN PMAX,NEEDS REVIEW,COMPONENT HIGHLY ACTIVE,CRSF100BM has 124 Shopify UK orders.,ledsone-db,Verify bundle.
PHTT1PBR3BM+LSWT300BM,284,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 3 orders,coventrylights 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
WLRPE27BM+LDMA60E274WW,347,FALSE,,Listed not selling,0,WLRPE27BM ACTIVE (Vintagelite listed 2023-12-05),0 (not found in Shopify orders query),Amazon Ledsone 1 order,electricalsone 2 orders,NOT IN PMAX,NEEDS REVIEW,SHOPIFY ORDERS UNCONFIRMED,WLRPE27BM listed active. No Shopify orders found in query for this combination.,ledsone-db,Verify Shopify orders.
LSMCSPFLMC+RPM40WH,142,FALSE,,Listed not selling,0,BUNDLE NOT VERIFIED,0,Amazon Ledsone 8 orders,led_sone 1 order,NOT IN PMAX,NEEDS REVIEW,BUNDLE NOT VERIFIED,,ledsone-db,Verify bundle.
