Rank,SKU,Type,Shopify_UK_Orders_DB,Amazon_UK_Orders_DB,eBay_UK_Orders_DB,Total_Marketplace_Orders,Original_Shopify_Listing_Status,Original_Amazon_Revenue,Original_eBay_Revenue,Priority,Note
25,LSMS320GY2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£613.34,£49.78,REVIEW,Bundle — verify as Shopify product
9,LSMCSPFLMC+RPR44WH,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£911.01,£21.84,REVIEW,Bundle — verify as Shopify product
13,LSCYRO200WH2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£703.89,£93.82,REVIEW,Bundle — verify as Shopify product
20,LSCYRO200BM2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£702.70,£24.89,REVIEW,Bundle — verify as Shopify product
218,CRSF100GB+PHMU1PBRGB+LSDM220GB,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£99.96,£45.78,REVIEW,Bundle — verify as Shopify product
90,CRFF100YB2PK+LHNSE27YB2PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£248.90,£77.69,REVIEW,Bundle — verify as Shopify product
155,CRSF100BM+PHCHPBRGB+LSCY290GB,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£124.45,£82.40,REVIEW,Bundle — verify as Shopify product
284,PHTT1PBR3BM+LSWT300BM,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£74.67,£20.36,REVIEW,Bundle — verify as Shopify product
347,WLRPE27BM+LDMA60E274WW,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£24.89,£43.48,REVIEW,Bundle — verify as Shopify product
142,LSMCSPFLMC+RPM40WH,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£197.35,£23.89,REVIEW,Bundle — verify as Shopify product
204,CRSF100CO+PHMU1PBRCO+LSDM220CO,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£122.95,£30.52,REVIEW,Bundle — verify as Shopify product
145,PLTTBC+LSTF40BC,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£196.12,£23.88,REVIEW,Bundle — verify as Shopify product
166,CRSF100SN+PHCHPCRSN+LSCY290SN,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£169.23,£21.29,REVIEW,Bundle — verify as Shopify product
215,CRSF100YB+PHMU1PBRYB+LSDM220YB,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£71.97,£76.30,REVIEW,Bundle — verify as Shopify product
58,LSMCSQWYBL+RPM40WH,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£191.12,£217.35,REVIEW,Bundle — verify as Shopify product
432,LSCY210BC2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£23.89,£18.89,REVIEW,Bundle — verify as Shopify product
8,WCDCBM3PK+RPR44WH3PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£999.90,£23.65,REVIEW,Bundle — verify as Shopify product
342,TPHTTN2PBRBM+LSGLBC160AR+LDMST64E274,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£47.48,£22.49,REVIEW,Bundle — verify as Shopify product
427,CRFF108GB4PK+HK10GB4PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£23.59,£20.59,REVIEW,Bundle — verify as Shopify product
64,WCDTRO3PK+RPR44WH3PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£329.26,£64.50,REVIEW,Bundle — verify as Shopify product
86,CRSF100BB+PHCH1PBRBB+LSCY290BB,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£117.05,£215.74,REVIEW,Bundle — verify as Shopify product
49,CRFF100GB2PK+LHNSE27GB2PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£419.82,£16.89,REVIEW,Bundle — verify as Shopify product
68,CRFF100SN2PK+LHNSE27SN2PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£371.57,£16.89,REVIEW,Bundle — verify as Shopify product
192,CRSF100BM+PHHN1PBRGD+LSDO210BG,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£69.17,£95.34,REVIEW,Bundle — verify as Shopify product
29,WCBTC140FG2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£595.14,£39.70,REVIEW,Bundle — verify as Shopify product
258,CRSF100CO+PHSH1PBRCO+LSDM220CO+LDWWE2715,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£91.56,£18.96,REVIEW,Bundle — verify as Shopify product
415,PHUH2HETBM+SPHEBM+WCSPROCO+ICST64E27,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£22.89,£23.89,REVIEW,Bundle — verify as Shopify product. Component PHUH2HETBM has demand
26,LSCYRO120WH2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£594.64,£54.99,REVIEW,Bundle — verify as Shopify product
33,LSMCSPSQMC+RPM40WH,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£498.86,£72.56,REVIEW,Bundle — verify as Shopify product
259,WSFH1BMYB+PSDS2RBR+SCRN70BM+LSFT220YE,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£89.59,£20.57,REVIEW,Bundle — verify as Shopify product
140,WCFRBM+ICST64E2740,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£111.65,£112.02,REVIEW,Bundle — verify as Shopify product. Component WCFRBM has demand
51,CRSF100BC+PHCH1PBRBC+LSCY290BC,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£331.69,£102.00,REVIEW,Bundle — verify as Shopify product
27,LSCY210BG2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£594.02,£49.74,REVIEW,Bundle — verify as Shopify product
19,LSCYRO120BM2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£678.59,£53.83,REVIEW,Bundle — verify as Shopify product
309,CRSF100BM+LHNSE27YB+LSDM220GS+ICST64E27,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£43.78,£39.60,REVIEW,Bundle — verify as Shopify product
169,CRSF2003BM+PHNW1RBM3PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£127.27,£61.45,REVIEW,Bundle — verify as Shopify product
14,PLTTBC+LSFT220BC,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£739.35,£46.09,REVIEW,Bundle — verify as Shopify product
241,CRSF100BM+LHNSE27YB+SCRN70BM+LSFT220GS,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£104.45,£16.49,REVIEW,Bundle — verify as Shopify product
433,BLBB1GU225+LDGU10CD5,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£20.79,£21.89,REVIEW,Bundle — verify as Shopify product
6,LSHM300HE+RPR44WH,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,"£1,224.69",£20.89,REVIEW,Bundle — verify as Shopify product. Component LSHM300HE has demand
281,CRFF500BC+PHWL1PBRBC3PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£20.74,£75.78,REVIEW,Bundle — verify as Shopify product
97,WCBTC120FG2PK+RPR44WH2PK,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£289.66,£17.76,REVIEW,Bundle — verify as Shopify product
226,PLTYBC+ICST64E27,Bundle,0,N/A,N/A,N/A,Not listed on Shopify UK,£103.43,£31.52,REVIEW,Bundle — verify as Shopify product
36,LSMCSQWYRE+RPM40WH,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£391.89,£157.74,REVIEW,Bundle — verify as Shopify product
87,LSGLULCL2PK+RPM40WH2PK,Bundle,0,N/A,N/A,N/A,"Listed, not selling",£242.57,£90.13,REVIEW,Bundle — verify as Shopify product
3,CRSF100BM+PHCH1BMRBM+LSCY290BM,Bundle,0,N/A,N/A,N/A,"Listed, not selling","£1,707.63",£102.75,REVIEW,Bundle — verify as Shopify product. Highest revenue bundle in CSV
