#,Handle,Product ID,Product URL,Units Sold,Orders
26,pipe-lighting-accessories-iron-5way-cross,5928354545825,https://ledsone.co.uk/products/pipe-lighting-accessories-iron-5way-cross,0,
27,industrial-vintage-various-colours-ceiling-light-fitting-e27-pendant-holder,7738421936378,https://ledsone.co.uk/products/industrial-vintage-various-colours-ceiling-light-fitting-e27-pendant-holder,4,#LED57166(x2) | #LED57166(x1) | #LED57508(x1)
28,3-core-army-green-round-vintage-italian-braided-fabric-cable-flex-0-75mm-uk,4417278115936,https://ledsone.co.uk/products/3-core-army-green-round-vintage-italian-braided-fabric-cable-flex-0-75mm-uk,1,#LED57300(x1)
29,dc24v-ip67-30w-waterproof-led-driver-power-supply-transformer,4417255800928,https://ledsone.co.uk/products/dc24v-ip67-30w-waterproof-led-driver-power-supply-transformer,0,
30,screw-e27-white-plain-holder-bakelite-lamp-holder,4417284243552,https://ledsone.co.uk/products/screw-e27-white-plain-holder-bakelite-lamp-holder,1,#LED56917(x1)
31,vintage-e27-edison-screw-3w-filament-bulb-warm-white-2000k-amber-glass-5073,8073657843962,https://ledsone.co.uk/products/vintage-e27-edison-screw-3w-filament-bulb-warm-white-2000k-amber-glass-5073,0,
32,3-outlet-500mm-black-metal-ceiling-rose-square,7053375373473,https://ledsone.co.uk/products/3-outlet-500mm-black-metal-ceiling-rose-square,0,
33,red-wicker-rattan-lampshade-ceiling-pendant-light,5956003758241,https://ledsone.co.uk/products/red-wicker-rattan-lampshade-ceiling-pendant-light,0,
34,black-finished-industrial-adjustable-pendant-light-fixture,8626277548282,https://ledsone.co.uk/products/black-finished-industrial-adjustable-pendant-light-fixture,0,
35,plug-in-wall-light-kit-dimmer-uk-plug-flex-wire,14924960235906,https://ledsone.co.uk/products/plug-in-wall-light-kit-dimmer-uk-plug-flex-wire,0,
36,orange-painted-metal-shade-lighting-vintage-pendant-light,6685792272545,https://ledsone.co.uk/products/orange-painted-metal-shade-lighting-vintage-pendant-light,0,
37,vintage-edison-led-filament-bulb-g80-b22-4w-dimmable,4417276018784,https://ledsone.co.uk/products/vintage-edison-led-filament-bulb-g80-b22-4w-dimmable,2,#LED56930(x2)
38,fabric-hemp-flex-cable-kit-black-plug-in-pendant-lamp-light-e27-fitting-vintage-lamp,7642575470842,https://ledsone.co.uk/products/fabric-hemp-flex-cable-kit-black-plug-in-pendant-lamp-light-e27-fitting-vintage-lamp,0,
39,industrial-style-ceiling-light-three-b22-bar-conduits-light,6655620284577,https://ledsone.co.uk/products/industrial-style-ceiling-light-three-b22-bar-conduits-light,0,
40,black-bakelite-lamp-holder-industrial-socket-light-bulb-holder-5735,14921103278466,https://ledsone.co.uk/products/black-bakelite-lamp-holder-industrial-socket-light-bulb-holder-5735,3,#LED56948(x1) | #LED56992(x1) | #LED57896(x1)
41,1m-white-pendant-light-holder,6024709734561,https://ledsone.co.uk/products/1m-white-pendant-light-holder,1,#LED57427(x1)
42,hemp-rope-metal-pendant-light-spider-light-hanging-light,8060940943610,https://ledsone.co.uk/products/hemp-rope-metal-pendant-light-spider-light-hanging-light,0,
43,fisherman-caged-conduit-pipe-light-shade-3-4-entry-wall-lantern-with-glass,,,0,
44,retro-vintage-1cm-hole-barrel-cage-design-rattan-style-lamp-light-shades-4219,7982645608698,https://ledsone.co.uk/products/retro-vintage-1cm-hole-barrel-cage-design-rattan-style-lamp-light-shades-4219,0,
45,105mm-bracket-strap-brace-plate-with-accessories-ceiling-rose-light-fixing,4538256031840,https://ledsone.co.uk/products/105mm-bracket-strap-brace-plate-with-accessories-ceiling-rose-light-fixing,0,
46,linear-cage-pendant-light-fixture,7659907776762,https://ledsone.co.uk/products/linear-cage-pendant-light-fixture,0,
47,b22-t185-60w-dimmable-vintage-light-filament-bulb,4417276903520,https://ledsone.co.uk/products/b22-t185-60w-dimmable-vintage-light-filament-bulb,0,
48,design-women-toe-post-flip-flop-beach-slipper-for-sea,8140667846906,https://ledsone.co.uk/products/design-women-toe-post-flip-flop-beach-slipper-for-sea,0,
49,industrial-ribbed-glass-wall-lights-replacement-lampshades-for-wall-lights,6001950490785,https://ledsone.co.uk/products/industrial-ribbed-glass-wall-lights-replacement-lampshades-for-wall-lights,0,
50,3-way-modern-black-ceiling-pendant-cluster-light-fitting-industrial-pendant-lampshade,5334324412577,https://ledsone.co.uk/products/3-way-modern-black-ceiling-pendant-cluster-light-fitting-industrial-pendant-lampshade,0,
