keyword,competitor_domain,competitor_position,volume,competitor_traffic,competitor_url,keyword_difficulty,intent,ledsone_position,opportunity_score
"ledowe","ledhut.co.uk",7,14800,325,"https://ledhut.co.uk/collections/led-light-bulbs",54,"1","",21142.86
"led lights and bulbs","ledhut.co.uk",1,1900,471,"https://ledhut.co.uk/collections/led-light-bulbs",34,"0,1","",19000
"led spotlights","ledhut.co.uk",2,3600,475,"https://ledhut.co.uk/collections/led-spotlights",15,"1","",18000
"flood light flood light","ledhut.co.uk",2,3600,126,"https://ledhut.co.uk/collections/led-flood-lights",11,"1","",18000
"dimmable light bulbs","ledhut.co.uk",2,2900,382,"https://ledhut.co.uk/collections/dimmable-led-bulbs",28,"1","",14500
"flood lights","ledhut.co.uk",2,2900,237,"https://ledhut.co.uk/collections/led-flood-lights",12,"1","",14500
"gu10 led bulb","ledhut.co.uk",2,2900,188,"https://ledhut.co.uk/collections/gu10-led-bulbs",12,"1","",14500
"e27","ledhut.co.uk",2,2900,127,"https://ledhut.co.uk/collections/e27-led-bulbs-es",13,"1","",14500
"dimmable led bulbs","ledhut.co.uk",1,1300,322,"https://ledhut.co.uk/collections/dimmable-led-bulbs",19,"1","",13000
"led for flood light","ledhut.co.uk",1,1300,171,"https://ledhut.co.uk/collections/led-flood-lights",15,"1","",13000
"gu10 led","ledhut.co.uk",1,1300,171,"https://ledhut.co.uk/collections/gu10-led-bulbs",10,"1","",13000
"led light bulb","ledhut.co.uk",1,1300,84,"https://ledhut.co.uk/collections/led-light-bulbs",34,"1","",13000
"light bulbs dimming","ledhut.co.uk",2,2400,105,"https://ledhut.co.uk/collections/dimmable-led-bulbs",22,"1","",12000
"lamp led g9","ledhut.co.uk",6,6600,125,"https://ledhut.co.uk/collections/led-light-bulbs/g9",17,"1","",11000
"light bulb fittings","ledhut.co.uk",1,1000,248,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",15,"1","",10000
"led bulbs uk","ledhut.co.uk",1,1000,248,"https://ledhut.co.uk/collections/led-light-bulbs",26,"1","",10000
"led floodlight","ledhut.co.uk",1,1000,248,"https://ledhut.co.uk/collections/led-flood-lights",10,"1","",10000
"led flood light led","ledhut.co.uk",1,1000,132,"https://ledhut.co.uk/collections/led-flood-lights",19,"1","",10000
"led gu10 bulbs","ledhut.co.uk",1,1000,132,"https://ledhut.co.uk/collections/gu10-led-bulbs",22,"1","",10000
"light fittings","lightingcompany.co.uk",2,12100,1597,"https://www.lightingcompany.co.uk/ceiling-lights-c3",33,"0","",60500
"light fitting","lightingcompany.co.uk",1,4400,580,"https://www.lightingcompany.co.uk/ceiling-lights-c3",32,"1","",44000
"lights and bulb","lightingcompany.co.uk",1,4400,360,"https://www.lightingcompany.co.uk/light-bulbs-c95",36,"0","",44000
"households outdoor lights advice","lightingcompany.co.uk",1,4400,286,"https://www.lightingcompany.co.uk/blog/the-definitive-guide-to-outdoor-lights/",22,"1","",44000
"best reading lamps","lightingcompany.co.uk",9,33100,430,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/reading-craft-lights-c38",19,"0","",36777.78
"light fixtures","lightingcompany.co.uk",1,2900,719,"https://www.lightingcompany.co.uk/ceiling-lights-c3",37,"1","",29000
"ceiling light","lightingcompany.co.uk",10,27100,135,"https://www.lightingcompany.co.uk/ceiling-lights-c3",32,"1","",27100
"lighting uk ceiling","lightingcompany.co.uk",1,2400,595,"https://www.lightingcompany.co.uk/ceiling-lights-c3",22,"1","",24000
"chandeliers in the bedroom","lightingcompany.co.uk",1,2400,316,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/bedroom-lights-guest-room-and-hotel-bedroom-lights-t127",11,"1","",24000
"table light shades","lightingcompany.co.uk",2,4400,580,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120",26,"1","",22000
"fit a light","lightingcompany.co.uk",3,6600,145,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-to-install-lighting-t252",22,"1","",22000
"chandelier in a bedroom","lightingcompany.co.uk",1,1900,471,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/bedroom-lights-guest-room-and-hotel-bedroom-lights-t127",11,"1","",19000
"lights for the mirror","lightingcompany.co.uk",1,1900,123,"https://www.lightingcompany.co.uk/bathroom-lights-c1/mirror-lights-c87",12,"1","",19000
"light fitting ceiling","lightingcompany.co.uk",2,3600,475,"https://www.lightingcompany.co.uk/ceiling-lights-c3",33,"0","",18000
"floor lamp with gold","lightingcompany.co.uk",2,3600,158,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/gold-antique-gold-t46",13,"1","",18000
"chandelier in the bedroom","lightingcompany.co.uk",1,1600,211,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/bedroom-lights-guest-room-and-hotel-bedroom-lights-t127",11,"1","",16000
"light fixtures for a bathroom","lightingcompany.co.uk",1,1600,211,"https://www.lightingcompany.co.uk/bathroom-lights-c1",22,"1","",16000
"lightening bulb","lightingcompany.co.uk",1,1600,104,"https://www.lightingcompany.co.uk/light-bulbs-c95",16,"1","",16000
"chandeliers in gold","lightingcompany.co.uk",2,2900,101,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/gold-antique-gold-t46",9,"1","",14500
"ceiling light shades","lightingcompany.co.uk",4,5400,189,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-fit-ceiling-lights-and-shades-c33/lounge-and-living-room-lights-t125",21,"1","",13500
"light fixture","lightingcompany.co.uk",1,1300,322,"https://www.lightingcompany.co.uk/ceiling-lights-c3",40,"1,3","",13000
"cream lampshade","lightingcompany.co.uk",1,1300,322,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120/cream-and-ivory-t209",13,"1","",13000
"tiffany lamps tiffany lamps","lightingcompany.co.uk",8,9900,188,"https://www.lightingcompany.co.uk/tiffany-lights-t26",24,"0","",12375
"bathroom light fixtures","lightingcompany.co.uk",2,2400,316,"https://www.lightingcompany.co.uk/bathroom-lights-c1",27,"1","",12000
"lighting light fixture","lightingcompany.co.uk",2,2400,196,"https://www.lightingcompany.co.uk/ceiling-lights-c3",30,"1","",12000
"large ceiling lights","lightingcompany.co.uk",1,1000,248,"https://www.lightingcompany.co.uk/ceiling-lights-c3/extra-large-and-oversized-ceiling-lights-c125",14,"0","",10000
"bathroom chandeliers","lightingcompany.co.uk",1,1000,248,"https://www.lightingcompany.co.uk/bathroom-lights-c1/bathroom-chandeliers-ip44-c75",13,"0","",10000
"bathroom mirror lights","lightingcompany.co.uk",2,1900,250,"https://www.lightingcompany.co.uk/bathroom-lights-c1/mirror-lights-c87",15,"1","",9500
"lighting fixtures","lightingcompany.co.uk",2,1900,250,"https://www.lightingcompany.co.uk/ceiling-lights-c3",34,"1","",9500
"floor lamp shades","lightingcompany.co.uk",2,1900,250,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/floor-lamp-shades-c323",13,"1","",9500
"british outdoor lighting","lightingcompany.co.uk",2,1900,155,"https://www.lightingcompany.co.uk/outdoor-lights-c27/british-made-in-uk-lighting-t23",12,"0","",9500
"wall light fixture with switch","lightingcompany.co.uk",2,1900,123,"https://www.lightingcompany.co.uk/wall-lights-c15/switched-wall-lights-c189",11,"1","",9500
"chandelier light","lightingcompany.co.uk",7,6600,125,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18",27,"1","",9428.57
"table lamp shades","lightingcompany.co.uk",6,5400,118,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120",28,"1","",9000
"glass lamp shades for ceiling lights","lightingcompany.co.uk",1,880,218,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-fit-ceiling-lights-and-shades-c33/glass-t20",9,"0","",8800
"glass ceiling lamp shades","lightingcompany.co.uk",1,880,116,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-fit-ceiling-lights-and-shades-c33/glass-t20",14,"0","",8800
"chandelier in a bathroom","lightingcompany.co.uk",1,880,116,"https://www.lightingcompany.co.uk/bathroom-lights-c1/bathroom-chandeliers-ip44-c75",13,"1","",8800
"small chandelier","lightingcompany.co.uk",1,880,116,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/small-chandeliers-less-than-40cm-diameter-c271",12,"0","",8800
"white light shade ceiling","lightingcompany.co.uk",1,880,116,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-fit-ceiling-lights-and-shades-c33/white-t41",22,"0","",8800
"brass spotlights","lightingcompany.co.uk",1,880,116,"https://www.lightingcompany.co.uk/spot-lights-c21/brass-antique-aged-brass-t21",9,"1","",8800
"light fittings uk","lightingcompany.co.uk",2,1600,211,"https://www.lightingcompany.co.uk/ceiling-lights-c3",34,"1","",8000
"lighting and sconces","lightingcompany.co.uk",3,2400,156,"https://www.lightingcompany.co.uk/wall-lights-c15",22,"1","",8000
"ceiling light fixture","lightingcompany.co.uk",3,2400,156,"https://www.lightingcompany.co.uk/ceiling-lights-c3",33,"1","",8000
"ceiling lights united kingdom","lightingcompany.co.uk",3,2400,156,"https://www.lightingcompany.co.uk/ceiling-lights-c3",23,"1","",8000
"dining room ceiling lights","lightingcompany.co.uk",2,1600,131,"https://www.lightingcompany.co.uk/ceiling-lights-c3/modern-ceiling-lighting-c7/dining-room-lighting-t126",13,"0","",8000
"chandelier crystal chandeliers","lightingcompany.co.uk",2,1600,131,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/crystal-t1",16,"0","",8000
"blue table lamp","lightingcompany.co.uk",2,1600,104,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamps-c127/blue-t73",11,"0","",8000
"lamp shades for table","lightingcompany.co.uk",7,5400,102,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120",22,"1","",7714.29
"lighting shop","lightingcompany.co.uk",4,2900,127,"https://www.lightingcompany.co.uk/",67,"0","",7250
"chandeliers for sale","lightingcompany.co.uk",1,720,178,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18",22,"3","",7200
"pendant lights in the kitchen","industville.co.uk",1,3600,475,"https://www.industville.co.uk/collections/kitchen-island-lighting",16,"1","",36000
"bar in lights","industville.co.uk",1,1900,471,"https://www.industville.co.uk/collections/restaurant-bar-and-coffee-shop-lighting",11,"1","",19000
"bulkhead light","industville.co.uk",2,3600,126,"https://www.industville.co.uk/collections/bulkhead-lights",16,"1","",18000
"hall lights","industville.co.uk",1,1600,396,"https://www.industville.co.uk/collections/hallway-lights",16,"0","",16000
"wall sconces wall sconces","industville.co.uk",3,4400,154,"https://www.industville.co.uk/collections/wall-lights",19,"1","",14666.67
"bulkhead","industville.co.uk",3,4400,105,"https://www.industville.co.uk/collections/bulkhead-lights",27,"1","",14666.67
"vintage wall lights","industville.co.uk",1,1300,322,"https://www.industville.co.uk/collections/wall-lights",9,"1","",13000
"edison with bulb","industville.co.uk",1,1300,171,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",17,"1","",13000
"edison bulb","industville.co.uk",1,1300,171,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",12,"1","",13000
"vintage light wall","industville.co.uk",1,1300,171,"https://www.industville.co.uk/collections/wall-lights",9,"1","",13000
"industrial wall lights","industville.co.uk",1,1300,171,"https://www.industville.co.uk/collections/wall-lights",9,"0","",13000
"kitchen with pendant lighting","industville.co.uk",2,2400,316,"https://www.industville.co.uk/collections/kitchen-island-lighting",12,"1","",12000
"kitchen pendant lighting","industville.co.uk",2,2400,196,"https://www.industville.co.uk/collections/kitchen-island-lighting",13,"0","",12000
"kitchen pendant lights island","industville.co.uk",3,3600,108,"https://www.industville.co.uk/collections/kitchen-island-lighting",11,"1","",12000
"industrial ceiling lights","industville.co.uk",1,1000,248,"https://www.industville.co.uk/collections/ceiling-lights",9,"0","",10000
"giant ceiling light","industville.co.uk",1,1000,132,"https://www.industville.co.uk/collections/large-decorative-lights",11,"0","",10000
"ceiling industrial lamp","industville.co.uk",1,1000,132,"https://www.industville.co.uk/collections/ceiling-lights",9,"0,1","",10000
"bulb holder with bulb","industville.co.uk",1,1000,82,"https://www.industville.co.uk/collections/light-bulb-holders",13,"1","",10000
"brass metal pendant light","industville.co.uk",1,1000,65,"https://www.industville.co.uk/collections/metal-decorative-lights",11,"1","",10000
"hanging light pendants for kitchen","industville.co.uk",4,3600,86,"https://www.industville.co.uk/collections/kitchen-island-lighting",19,"0","",9000
"lights for the kitchen island","industville.co.uk",4,3600,86,"https://www.industville.co.uk/collections/kitchen-island-lighting",18,"0,1","",9000
"edison light bulb","industville.co.uk",1,880,116,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",16,"1","",8800
"wall lights vintage","industville.co.uk",1,880,116,"https://www.industville.co.uk/collections/wall-lights",9,"1","",8800
"hallway light","industville.co.uk",3,2400,156,"https://www.industville.co.uk/collections/hallway-lights",15,"1","",8000
"hanging kitchen island lighting","industville.co.uk",3,2400,105,"https://www.industville.co.uk/collections/kitchen-island-lighting",12,"1","",8000
"outside bulkhead lights","industville.co.uk",1,720,178,"https://www.industville.co.uk/collections/bulkhead-lights",13,"0","",7200
"industrial pendant lighting","industville.co.uk",1,720,178,"https://www.industville.co.uk/collections/ceiling-lights",8,"1","",7200
"large pendant lighting","industville.co.uk",1,720,178,"https://www.industville.co.uk/collections/large-decorative-lights",9,"0","",7200
"bulkhead lights outdoor","industville.co.uk",1,720,95,"https://www.industville.co.uk/collections/bulkhead-lights",14,"1","",7200
"edison bulbs","industville.co.uk",1,720,95,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",17,"1","",7200
"bulkhead lights","industville.co.uk",2,1300,106,"https://www.industville.co.uk/collections/bulkhead-lights",17,"1,3","",6500
"industrial lighting wall lights","industville.co.uk",1,590,146,"https://www.industville.co.uk/collections/wall-lights",13,"1","",5900
"outdoor bulkhead lights","industville.co.uk",1,590,77,"https://www.industville.co.uk/collections/bulkhead-lights",16,"1","",5900
"bedroom lighting ideas","industville.co.uk",5,2900,127,"https://www.industville.co.uk/collections/bedroom-lights",16,"1","",5800
"lighting ideas for the bedroom","industville.co.uk",5,2900,87,"https://www.industville.co.uk/collections/bedroom-lights",23,"1","",5800
"semi flush mount ceiling light","industville.co.uk",3,1600,104,"https://www.industville.co.uk/collections/low-ceiling-lights",9,"0","",5333.33
"retro filament bulbs","industville.co.uk",2,1000,132,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",12,"1","",5000
"hanging kitchen lights","industville.co.uk",2,1000,132,"https://www.industville.co.uk/collections/kitchen-island-lighting",21,"0","",5000
"vintage light bulbs","industville.co.uk",2,1000,132,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",9,"1","",5000
"glass ceiling lights","industville.co.uk",2,1000,82,"https://www.industville.co.uk/collections/glass-lights",10,"0","",5000
"hanging kitchen lights pendant","industville.co.uk",2,1000,82,"https://www.industville.co.uk/collections/kitchen-island-lighting",16,"1","",5000
"wall industrial lights","industville.co.uk",2,1000,82,"https://www.industville.co.uk/collections/wall-lights",9,"1","",5000
"large pendant light","industville.co.uk",1,480,119,"https://www.industville.co.uk/collections/large-decorative-lights",8,"1","",4800
"bar lighting","industville.co.uk",1,480,119,"https://www.industville.co.uk/collections/restaurant-bar-and-coffee-shop-lighting",10,"1","",4800
"industrial light shade","industville.co.uk",1,480,63,"https://www.industville.co.uk/collections/lighting-shades-and-lampshades",12,"1","",4800
"pendant light fixtures glass","industville.co.uk",5,2400,57,"https://www.industville.co.uk/collections/glass-lights",14,"1","",4800
"industrial lighting","industville.co.uk",4,1900,123,"https://www.industville.co.uk/",15,"0","",4750
"outdoor bulkhead light","industville.co.uk",2,880,72,"https://www.industville.co.uk/collections/bulkhead-lights",16,"1","",4400
"bulk head light","industville.co.uk",2,880,57,"https://www.industville.co.uk/collections/bulkhead-lights",16,"1","",4400
"bronze ceiling light","industville.co.uk",2,880,57,"https://www.industville.co.uk/collections/bronze-lights",9,"1","",4400
