keyword,competitor_domain,competitor_position,volume,competitor_traffic,competitor_url,keyword_difficulty,intent,ledsone_position,opportunity_score,snapshot_date
"led light",ledhut.co.uk,3,8100,243,"https://ledhut.co.uk/collections/led-light-bulbs",37,1,,27000,2026-08-17
"gu10 led bulbs",ledhut.co.uk,2,5400,237,"https://ledhut.co.uk/collections/gu10-led-bulbs",17,1,,27000,2026-08-17
"led bulb led",ledhut.co.uk,1,2400,316,"https://ledhut.co.uk/collections/led-light-bulbs",28,1,,24000,2026-08-17
"gu10 light bulb",ledhut.co.uk,1,2400,316,"https://ledhut.co.uk/collections/gu10-led-bulbs",23,1,,24000,2026-08-17
"led flood lights",ledhut.co.uk,1,2400,196,"https://ledhut.co.uk/collections/led-flood-lights",20,1,,24000,2026-08-17
"flood light lights",ledhut.co.uk,2,4400,286,"https://ledhut.co.uk/collections/led-flood-lights",20,1,,22000,2026-08-17
"light bulb",ledhut.co.uk,6,12100,266,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",30,3,,20166.67,2026-08-17
"led lights and bulbs",ledhut.co.uk,1,1900,471,"https://ledhut.co.uk/collections/led-light-bulbs",34,0,1,,19000,2026-08-17
"flood light flood light",ledhut.co.uk,2,3600,126,"https://ledhut.co.uk/collections/led-flood-lights",13,1,,18000,2026-08-17
"g9 led bulb",ledhut.co.uk,8,12100,229,"https://ledhut.co.uk/collections/led-light-bulbs/g9",13,1,,15125,2026-08-17
"dimmable light bulbs",ledhut.co.uk,2,2900,382,"https://ledhut.co.uk/collections/dimmable-led-bulbs",28,1,,14500,2026-08-17
"flood lights",ledhut.co.uk,2,2900,237,"https://ledhut.co.uk/collections/led-flood-lights",12,1,,14500,2026-08-17
"gu10 led bulb",ledhut.co.uk,2,2900,188,"https://ledhut.co.uk/collections/gu10-led-bulbs",12,1,,14500,2026-08-17
"led for flood light",ledhut.co.uk,1,1300,171,"https://ledhut.co.uk/collections/led-flood-lights",15,1,,13000,2026-08-17
"gu10 led",ledhut.co.uk,1,1300,171,"https://ledhut.co.uk/collections/gu10-led-bulbs",10,1,,13000,2026-08-17
"dimmable led bulbs",ledhut.co.uk,1,1300,171,"https://ledhut.co.uk/collections/dimmable-led-bulbs",19,1,,13000,2026-08-17
"e27",ledhut.co.uk,2,2400,156,"https://ledhut.co.uk/collections/e27-led-bulbs-es",14,1,,12000,2026-08-17
"light bulbs dimming",ledhut.co.uk,2,2400,105,"https://ledhut.co.uk/collections/dimmable-led-bulbs",22,1,,12000,2026-08-17
"led downlight led",ledhut.co.uk,3,3600,86,"https://ledhut.co.uk/collections/led-downlights",13,1,,12000,2026-08-17
"lamp led g9",ledhut.co.uk,6,6600,125,"https://ledhut.co.uk/collections/led-light-bulbs/g9",12,1,,11000,2026-08-17
"light bulb fittings",ledhut.co.uk,1,1000,248,"https://ledhut.co.uk/collections/shop-led-bulbs-by-fitting",15,1,,10000,2026-08-17
"led bulbs uk",ledhut.co.uk,1,1000,248,"https://ledhut.co.uk/collections/led-light-bulbs",26,1,,10000,2026-08-17
"led floodlight",ledhut.co.uk,1,1000,248,"https://ledhut.co.uk/collections/led-flood-lights",10,1,,10000,2026-08-17
"led flood light",ledhut.co.uk,1,1000,248,"https://ledhut.co.uk/collections/led-flood-lights",11,1,,10000,2026-08-17
"lights and bulb",lightingcompany.co.uk,1,4400,360,"https://www.lightingcompany.co.uk/light-bulbs-c95",36,0,,44000,2026-08-17
"households outdoor lights advice",lightingcompany.co.uk,1,4400,286,"https://www.lightingcompany.co.uk/blog/the-definitive-guide-to-outdoor-lights/",23,1,,44000,2026-08-17
"best reading lamps",lightingcompany.co.uk,8,33100,628,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/reading-craft-lights-c38",21,0,,41375,2026-08-17
"light fixtures",lightingcompany.co.uk,1,2900,719,"https://www.lightingcompany.co.uk/ceiling-lights-c3",37,1,,29000,2026-08-17
"ceiling light",lightingcompany.co.uk,10,27100,189,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-fit-ceiling-lights-and-shades-c33",27,1,,27100,2026-08-17
"lighting uk ceiling",lightingcompany.co.uk,1,2400,595,"https://www.lightingcompany.co.uk/ceiling-lights-c3",22,1,,24000,2026-08-17
"chandeliers in the bedroom",lightingcompany.co.uk,1,2400,316,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/bedroom-lights-guest-room-and-hotel-bedroom-lights-t127",11,1,,24000,2026-08-17
"table light shades",lightingcompany.co.uk,2,4400,580,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120",26,1,,22000,2026-08-17
"chandelier light",lightingcompany.co.uk,3,6600,429,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18",26,1,,22000,2026-08-17
"light fitting",lightingcompany.co.uk,2,4400,286,"https://www.lightingcompany.co.uk/ceiling-lights-c3",38,1,,22000,2026-08-17
"fit a light",lightingcompany.co.uk,3,6600,125,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-to-install-lighting-t252",22,1,,22000,2026-08-17
"chandelier in a bedroom",lightingcompany.co.uk,1,1900,471,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/bedroom-lights-guest-room-and-hotel-bedroom-lights-t127",11,1,,19000,2026-08-17
"lights for the mirror",lightingcompany.co.uk,1,1900,123,"https://www.lightingcompany.co.uk/bathroom-lights-c1/mirror-lights-c87",12,1,,19000,2026-08-17
"light fitting ceiling",lightingcompany.co.uk,2,3600,475,"https://www.lightingcompany.co.uk/ceiling-lights-c3",28,0,,18000,2026-08-17
"floor lamp with gold",lightingcompany.co.uk,2,3600,234,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/gold-antique-gold-t46",13,1,,18000,2026-08-17
"chandelier in the bedroom",lightingcompany.co.uk,1,1600,396,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/bedroom-lights-guest-room-and-hotel-bedroom-lights-t127",11,1,,16000,2026-08-17
"light fixtures for a bathroom",lightingcompany.co.uk,1,1600,211,"https://www.lightingcompany.co.uk/bathroom-lights-c1",22,1,,16000,2026-08-17
"lightening bulb",lightingcompany.co.uk,1,1600,104,"https://www.lightingcompany.co.uk/light-bulbs-c95",16,1,,16000,2026-08-17
"chandeliers in gold",lightingcompany.co.uk,2,2900,101,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/gold-antique-gold-t46",9,1,,14500,2026-08-17
"light fixture",lightingcompany.co.uk,1,1300,322,"https://www.lightingcompany.co.uk/ceiling-lights-c3",40,1,3,,13000,2026-08-17
"cream lampshade",lightingcompany.co.uk,1,1300,322,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120/cream-and-ivory-t209",13,1,,13000,2026-08-17
"bathroom light fixtures",lightingcompany.co.uk,2,2400,316,"https://www.lightingcompany.co.uk/bathroom-lights-c1",27,1,,12000,2026-08-17
"lighting light fixture",lightingcompany.co.uk,2,2400,196,"https://www.lightingcompany.co.uk/ceiling-lights-c3",30,1,,12000,2026-08-17
"large ceiling lights",lightingcompany.co.uk,1,1000,248,"https://www.lightingcompany.co.uk/ceiling-lights-c3/extra-large-and-oversized-ceiling-lights-c125",14,0,,10000,2026-08-17
"bathroom chandeliers",lightingcompany.co.uk,1,1000,248,"https://www.lightingcompany.co.uk/bathroom-lights-c1/bathroom-chandeliers-ip44-c75",13,0,,10000,2026-08-17
"bathroom mirror lights",lightingcompany.co.uk,2,1900,250,"https://www.lightingcompany.co.uk/bathroom-lights-c1/mirror-lights-c87",15,1,,9500,2026-08-17
"lighting fixtures",lightingcompany.co.uk,2,1900,250,"https://www.lightingcompany.co.uk/ceiling-lights-c3",34,1,,9500,2026-08-17
"floor lamp shades",lightingcompany.co.uk,2,1900,250,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/floor-lamp-shades-c323",13,1,,9500,2026-08-17
"wall light fixture with switch",lightingcompany.co.uk,2,1900,123,"https://www.lightingcompany.co.uk/wall-lights-c15/switched-wall-lights-c189",11,1,,9500,2026-08-17
"ceiling lights uk",lightingcompany.co.uk,4,3600,234,"https://www.lightingcompany.co.uk/ceiling-lights-c3",25,1,,9000,2026-08-17
"chandelier lights",lightingcompany.co.uk,4,3600,126,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18",23,3,,9000,2026-08-17
"glass lamp shades for ceiling lights",lightingcompany.co.uk,1,880,218,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-fit-ceiling-lights-and-shades-c33/glass-t20",9,0,,8800,2026-08-17
"glass ceiling lamp shades",lightingcompany.co.uk,1,880,116,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-fit-ceiling-lights-and-shades-c33/glass-t20",14,0,,8800,2026-08-17
"chandelier in a bathroom",lightingcompany.co.uk,1,880,116,"https://www.lightingcompany.co.uk/bathroom-lights-c1/bathroom-chandeliers-ip44-c75",13,1,,8800,2026-08-17
"small chandelier",lightingcompany.co.uk,1,880,116,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/small-chandeliers-less-than-40cm-diameter-c271",12,0,,8800,2026-08-17
"white light shade ceiling",lightingcompany.co.uk,1,880,116,"https://www.lightingcompany.co.uk/ceiling-lights-c3/easy-fit-ceiling-lights-and-shades-c33/white-t41",22,0,,8800,2026-08-17
"brass spotlights",lightingcompany.co.uk,1,880,116,"https://www.lightingcompany.co.uk/spot-lights-c21/brass-antique-aged-brass-t21",9,1,,8800,2026-08-17
"light fittings uk",lightingcompany.co.uk,2,1600,211,"https://www.lightingcompany.co.uk/ceiling-lights-c3",34,1,,8000,2026-08-17
"lighting and sconces",lightingcompany.co.uk,3,2400,156,"https://www.lightingcompany.co.uk/wall-lights-c15",22,1,,8000,2026-08-17
"ceiling lights united kingdom",lightingcompany.co.uk,3,2400,156,"https://www.lightingcompany.co.uk/ceiling-lights-c3",23,1,,8000,2026-08-17
"dining room ceiling lights",lightingcompany.co.uk,2,1600,131,"https://www.lightingcompany.co.uk/ceiling-lights-c3/modern-ceiling-lighting-c7/dining-room-lighting-t126",13,0,,8000,2026-08-17
"chandelier crystal chandeliers",lightingcompany.co.uk,2,1600,131,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18/crystal-t1",16,0,,8000,2026-08-17
"blue table lamp",lightingcompany.co.uk,2,1600,104,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamps-c127/blue-t73",11,0,,8000,2026-08-17
"lighting shop",lightingcompany.co.uk,4,2900,127,"https://www.lightingcompany.co.uk/",67,0,,7250,2026-08-17
"chandeliers for sale",lightingcompany.co.uk,1,720,178,"https://www.lightingcompany.co.uk/ceiling-lights-c3/chandeliers-c18",22,3,,7200,2026-08-17
"lamp shades for table",lightingcompany.co.uk,8,5400,129,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120",19,1,,6750,2026-08-17
"table lamp shades",lightingcompany.co.uk,8,5400,102,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120",22,1,,6750,2026-08-17
"ceiling light fixtures uk",lightingcompany.co.uk,2,1300,171,"https://www.lightingcompany.co.uk/ceiling-lights-c3",22,1,,6500,2026-08-17
"cream lamp shades",lightingcompany.co.uk,2,1300,106,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/table-lamp-shades-c120/cream-and-ivory-t209",21,0,,6500,2026-08-17
"floor lamp shade",lightingcompany.co.uk,2,1300,106,"https://www.lightingcompany.co.uk/table-floor-lamps-c5/floor-lamp-shades-c323",14,0,,6500,2026-08-17
"pendant lights in the kitchen",industville.co.uk,1,3600,475,"https://www.industville.co.uk/collections/kitchen-island-lighting",16,1,,36000,2026-08-17
"wall light",industville.co.uk,4,12100,423,"https://www.industville.co.uk/collections/wall-lights",26,1,3,,30250,2026-08-17
"kitchen lights lights",industville.co.uk,4,8100,243,"https://www.industville.co.uk/collections/kitchen-lights",23,1,,20250,2026-08-17
"bar in lights",industville.co.uk,1,1900,471,"https://www.industville.co.uk/collections/restaurant-bar-and-coffee-shop-lighting",11,1,,19000,2026-08-17
"bulkhead light",industville.co.uk,2,3600,295,"https://www.industville.co.uk/collections/bulkhead-lights",11,1,,18000,2026-08-17
"lights for the kitchen island",industville.co.uk,2,3600,295,"https://www.industville.co.uk/collections/kitchen-island-lighting",16,0,1,,18000,2026-08-17
"hall lights",industville.co.uk,1,1600,396,"https://www.industville.co.uk/collections/hallway-lights",16,0,,16000,2026-08-17
"industrial wall lights",industville.co.uk,1,1300,322,"https://www.industville.co.uk/collections/wall-lights",9,0,,13000,2026-08-17
"edison with bulb",industville.co.uk,1,1300,171,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",17,1,,13000,2026-08-17
"edison bulb",industville.co.uk,1,1300,171,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",12,1,,13000,2026-08-17
"vintage light wall",industville.co.uk,1,1300,171,"https://www.industville.co.uk/collections/wall-lights",9,1,,13000,2026-08-17
"kitchen with pendant lighting",industville.co.uk,2,2400,316,"https://www.industville.co.uk/collections/kitchen-island-lighting",12,1,,12000,2026-08-17
"kitchen pendant lighting",industville.co.uk,2,2400,196,"https://www.industville.co.uk/collections/kitchen-island-lighting",13,0,,12000,2026-08-17
"hanging light pendants for kitchen",industville.co.uk,3,3600,108,"https://www.industville.co.uk/collections/kitchen-island-lighting",16,1,,12000,2026-08-17
"industrial ceiling lights",industville.co.uk,1,1000,248,"https://www.industville.co.uk/collections/ceiling-lights",9,0,,10000,2026-08-17
"giant ceiling light",industville.co.uk,1,1000,132,"https://www.industville.co.uk/collections/large-decorative-lights",11,0,,10000,2026-08-17
"ceiling industrial lamp",industville.co.uk,1,1000,132,"https://www.industville.co.uk/collections/ceiling-lights",9,0,1,,10000,2026-08-17
"bulb holder with bulb",industville.co.uk,1,1000,82,"https://www.industville.co.uk/collections/light-bulb-holders",13,1,,10000,2026-08-17
"brass metal pendant light",industville.co.uk,1,1000,65,"https://www.industville.co.uk/collections/metal-decorative-lights",11,1,,10000,2026-08-17
"kitchen pendant lights island",industville.co.uk,4,3600,68,"https://www.industville.co.uk/collections/kitchen-island-lighting",11,1,,9000,2026-08-17
"edison light bulb",industville.co.uk,1,880,116,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",16,1,,8800,2026-08-17
"wall lights vintage",industville.co.uk,1,880,116,"https://www.industville.co.uk/collections/wall-lights",9,1,,8800,2026-08-17
"wall sconces wall sconces",industville.co.uk,5,4400,105,"https://www.industville.co.uk/collections/wall-lights",19,1,,8800,2026-08-17
"hallway light",industville.co.uk,3,2400,156,"https://www.industville.co.uk/collections/hallway-lights",15,1,,8000,2026-08-17
"glass ceiling light",industville.co.uk,2,1600,131,"https://www.industville.co.uk/collections/glass-lights",10,1,,8000,2026-08-17
"hanging kitchen island lighting",industville.co.uk,3,2400,105,"https://www.industville.co.uk/collections/kitchen-island-lighting",12,1,,8000,2026-08-17
"bulkhead",industville.co.uk,6,4400,83,"https://www.industville.co.uk/collections/bulkhead-lights",22,1,,7333.33,2026-08-17
"outside bulkhead lights",industville.co.uk,1,720,178,"https://www.industville.co.uk/collections/bulkhead-lights",13,0,,7200,2026-08-17
"industrial pendant lighting",industville.co.uk,1,720,178,"https://www.industville.co.uk/collections/ceiling-lights",8,1,,7200,2026-08-17
"large pendant lighting",industville.co.uk,1,720,178,"https://www.industville.co.uk/collections/large-decorative-lights",9,0,,7200,2026-08-17
"bulkhead lights outdoor",industville.co.uk,1,720,95,"https://www.industville.co.uk/collections/bulkhead-lights",14,1,,7200,2026-08-17
"edison bulbs",industville.co.uk,1,720,95,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",17,1,,7200,2026-08-17
"bulkhead lights",industville.co.uk,2,1300,106,"https://www.industville.co.uk/collections/bulkhead-lights",17,1,3,,6500,2026-08-17
"industrial lighting wall lights",industville.co.uk,1,590,146,"https://www.industville.co.uk/collections/wall-lights",13,1,,5900,2026-08-17
"outdoor bulkhead lights",industville.co.uk,1,590,77,"https://www.industville.co.uk/collections/bulkhead-lights",16,1,,5900,2026-08-17
"bedroom lighting ideas",industville.co.uk,5,2900,127,"https://www.industville.co.uk/collections/bedroom-lights",16,1,,5800,2026-08-17
"lighting ideas for the bedroom",industville.co.uk,5,2900,87,"https://www.industville.co.uk/collections/bedroom-lights",23,1,,5800,2026-08-17
"semi flush mount ceiling light",industville.co.uk,3,1600,104,"https://www.industville.co.uk/collections/low-ceiling-lights",9,0,,5333.33,2026-08-17
"retro filament bulbs",industville.co.uk,2,1000,132,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",12,1,,5000,2026-08-17
"hanging kitchen lights",industville.co.uk,2,1000,132,"https://www.industville.co.uk/collections/kitchen-island-lighting",21,0,,5000,2026-08-17
"vintage light bulbs",industville.co.uk,2,1000,132,"https://www.industville.co.uk/collections/led-decorative-light-bulbs",9,1,,5000,2026-08-17
"glass ceiling lights",industville.co.uk,2,1000,82,"https://www.industville.co.uk/collections/glass-lights",10,0,,5000,2026-08-17
"hanging kitchen lights pendant",industville.co.uk,2,1000,82,"https://www.industville.co.uk/collections/kitchen-island-lighting",16,1,,5000,2026-08-17
"wall industrial lights",industville.co.uk,2,1000,82,"https://www.industville.co.uk/collections/wall-lights",9,1,,5000,2026-08-17
"large pendant light",industville.co.uk,1,480,119,"https://www.industville.co.uk/collections/large-decorative-lights",8,1,,4800,2026-08-17
"bar lighting",industville.co.uk,1,480,119,"https://www.industville.co.uk/collections/restaurant-bar-and-coffee-shop-lighting",10,1,,4800,2026-08-17
"industrial light shade",industville.co.uk,1,480,63,"https://www.industville.co.uk/collections/lighting-shades-and-lampshades",12,1,,4800,2026-08-17
"pendant light fixtures glass",industville.co.uk,5,2400,57,"https://www.industville.co.uk/collections/glass-lights",14,1,,4800,2026-08-17
"industrial lighting",industville.co.uk,4,1900,123,"https://www.industville.co.uk/",15,0,,4750,2026-08-17
"outdoor bulkhead light",industville.co.uk,2,880,72,"https://www.industville.co.uk/collections/bulkhead-lights",16,1,,4400,2026-08-17
