snapshot_date,keyword,position,prev_position,volume,cpc,url,traffic,keyword_difficulty,intent
2026-08-17,led transformers 12v,1,1,210,0.41,https://ledsone.co.uk/collections/dc-12v-transformer,17,11.00,"1,3"
2026-08-17,edison screw lamp holder,4,4,480,0.48,https://ledsone.co.uk/products/black-screw-e27-light-bulb-lamp-holder-base-pendant-socket-4378,16,7.00,1
2026-08-17,shower curtain,33,33,22200,0.29,https://ledsone.co.uk/collections/shower-curtain,15,33.00,1
2026-08-17,plug in hanging light,6,6,720,0.29,https://ledsone.co.uk/collections/plugin-lighting,15,10.00,1
2026-08-17,bayonet decorative light bulbs,2,2,110,0.26,https://ledsone.co.uk/collections/led-bulbs,14,14.00,1
2026-08-17,light bulb with holder,5,5,590,0.28,https://ledsone.co.uk/collections/holder,14,28.00,1
2026-08-17,transformer 24v,1,1,110,0.23,https://ledsone.co.uk/collections/dc-24v-transformer,14,16.00,"1,3"
2026-08-17,edison screw bulb,8,0,1600,0.34,https://ledsone.co.uk/blogs/new/e27-bulb-guide,14,13.00,1
2026-08-17,light shades,21,21,9900,0.25,https://ledsone.co.uk/collections/lighting-shades,14,28.00,1
2026-08-17,bayonet fitting led bulbs,7,7,590,0.25,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,14,12.00,1
2026-08-17,led transformer 12v,3,3,320,0.41,https://ledsone.co.uk/collections/dc-12v-transformer,14,9.00,"1,3"
2026-08-17,edison screw e27 lamp,2,2,590,0.33,https://ledsone.co.uk/collections/e27-base-bulb,14,9.00,1
2026-08-17,tape,25,25,9900,2.08,https://ledsone.co.uk/collections/tapes,14,44.00,1
2026-08-17,e27 lamp base,3,3,170,0.31,https://ledsone.co.uk/collections/metal-holders,13,23.00,1
2026-08-17,hanging lights with plug in,4,4,390,0.31,https://ledsone.co.uk/collections/plugin-lighting,13,16.00,1
2026-08-17,steampunk wall lights,1,1,170,0.27,https://ledsone.co.uk/products/vintage-industrial-water-pipe-lamp-retro-light-steampunk-wall-sconce-free-bulb,13,7.00,1
2026-08-17,shower curtain mould proof,3,3,170,0.27,https://ledsone.co.uk/products/fabric-solid-color-shower-curtain-for-bathtub-shower-5288,13,20.00,"0,1"
2026-08-17,ceiling bracket light,2,2,170,0.23,https://ledsone.co.uk/collections/ceiling-rose-brackets,13,26.00,1
2026-08-17,12v lighting transformer,3,3,210,0.33,https://ledsone.co.uk/collections/dc-12v-transformer,13,10.00,1
2026-08-17,pendant light holder,1,1,170,0.29,https://ledsone.co.uk/collections/pendant-holder,13,9.00,1
2026-08-17,rope hanging lamp,1,1,170,0.53,https://ledsone.co.uk/collections/hemp-rope-lighting,13,9.00,1
2026-08-17,lamp shade holder ring,2,2,170,0.21,https://ledsone.co.uk/products/screw-e27-plain-holder-white-with-ring-bakelite-lamp-holder,13,7.00,"1,3"
2026-08-17,led lights bayonet,7,7,720,0.25,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,13,9.00,1
2026-08-17,covered electrical wire,3,3,390,0.29,https://ledsone.co.uk/collections/vintage-cables,13,9.00,1
2026-08-17,pendant plug light,8,8,1300,0.31,https://ledsone.co.uk/collections/plugin-lighting,11,11.00,1
2026-08-17,hanging from chains,7,7,480,0.00,https://ledsone.co.uk/collections/cord-grip-and-hanging-chains,11,23.00,1
2026-08-17,fitting a pendant light,6,6,590,0.34,https://ledsone.co.uk/pages/pi,11,21.00,1
2026-08-17,hanging pendant plug in light,2,2,140,0.41,https://ledsone.co.uk/collections/plugin-lighting,11,8.00,1
2026-08-17,electrical cable connectors types,6,6,880,0.42,https://ledsone.co.uk/collections/wire-connectors,11,33.00,1
2026-08-17,decorative light bulbs bayonet fitting,3,3,140,0.26,https://ledsone.co.uk/collections/led-bulbs,11,12.00,1
2026-08-17,power adapter dc 12v,2,2,170,0.31,https://ledsone.co.uk/products/12v-10a-power-supply-adapter-transformer,11,21.00,1
2026-08-17,2 core electrical cable,5,5,480,0.29,https://ledsone.co.uk/blogs/understanding-2-core-electrical-cable-the-essentials-1/understanding-2-core-electrical-cable-the-essentials,11,9.00,1
2026-08-17,spider hanging lights,1,1,90,0.46,https://ledsone.co.uk/collections/spider-light,11,10.00,"1,3"
2026-08-17,bayonet led lamps,8,8,880,0.25,https://ledsone.co.uk/blogs/new/b22-bayonet-bulbs-explained-your-essential-led-buying-guide,11,9.00,1
2026-08-17,light with plug in,4,4,390,0.23,https://ledsone.co.uk/collections/plugin-lighting,11,7.00,0
2026-08-17,lampshade pendant lighting,14,14,2900,0.28,https://ledsone.co.uk/pages/lamp-shades-for-pendant-table-floor-lights,11,18.00,0
2026-08-17,3 core wire,5,5,390,0.20,https://ledsone.co.uk/blogs/new/understanding-3-core-electrical-cables-types-uses-and-color-codes,11,12.00,1
