Parent List ID,Shade_Shape,Height_mm,Diameter_mm,Hole_Diameter_mm,Material_Primary,Fitting_Type,Colour_Family,Bulb_Base_Type,Style_Category,Room_Suitability
8173292093690,Pluto,187,400,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8173292093690,,,,,,,,,,
8173292093690,Pluto,187,400,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8173292093690,Pluto,187,400,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8173292093690,Pluto,187,400,40,Metal,Easy Fit,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8173292093690,Pluto,187,400,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8173292093690,Pluto,187,400,40,Metal,Easy Fit,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4536805982304,,,,,,,,,,
5742782742689,,,,,,,,,,
5282330640545,,,,,,,,,,
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Red,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Chrome,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842306166945,Curvey,170,290,40,Metal,Easy Fit,Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5282331197601,,,,,,,,,,
7992642699514,,,,,,,,,,
8010959716602,,,,,,,,,,
8010965057786,,,,,,,,,,
4626542067808,Mug,110,150,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7452903244026,Cone,80,220,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7452903145722,Cone,80,220,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7452903145722,,,,,,,,,,
4572385280096,Barn Slot,160,300,40,Metal,Easy Fit,Yellow Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8090718732538,,,,,,,,,,
5282439004321,Cone,100,180,40,Metal,Easy Fit,Brushed Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5282439004321,Cone,100,180,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5282439004321,Cone,100,180,40,Metal,Easy Fit,Brushed Silver,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5282439004321,Cone,100,180,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
4572385443936,Bowel,100,220,40,Metal,Easy Fit,Yellow Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385443936,Bowel,100,220,40,Metal,Easy Fit,French Gold,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385443936,Bowel,100,220,40,Metal,Easy Fit,Green Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385443936,Bowel,100,220,40,Metal,Easy Fit,Chrome,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385443936,Bowel,100,220,40,Metal,Easy Fit,Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385443936,Bowel,100,220,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385443936,Bowel,100,220,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7452903604474,Cone,80,220,40,Metal,Easy Fit,Yellow Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4536806506592,,,,,,,,,,
7455209980154,Barn Slot,160,300,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385116256,Bowel,70,260,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8021898854650,Temple Dome,135,320,40,Metal,Easy Fit,Navy Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021911044346,,,,,,,,,,
8021911044346,Mosque,210,315,10,Metal,N/A,Burgundy,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021911044346,Mosque,210,315,10,Metal,N/A,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021911044346,Mosque,210,315,10,Metal,N/A,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8021911044346,Mosque,210,315,10,Metal,N/A,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
5866936696993,Dome,140,300,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
5866936631457,Dome,140,300,40,Metal,Easy Fit,Red,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
5866936500385,Saucer Dome,70,240,40,Metal,Easy Fit,Brushed Silver,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5866936500385,,,,,,,,,,
6842397687969,Dome,140,300,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842397687969,Dome,140,300,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842397687969,Dome,140,300,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
6842397687969,Dome,140,300,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
6842397687969,Dome,140,300,40,Metal,Easy Fit,Rose Gold,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842397687969,Dome,140,300,40,Metal,Easy Fit,Red,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
6842397687969,Dome,140,300,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
6842397687969,Dome,140,300,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7691129946362,Mug,110,150,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7691129749754,Mug,110,150,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
7691129422074,Mug,110,150,40,Metal,Easy Fit,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
7691129651450,,,,,,,,,,
4495624175712,,,,,,,,,,
4495624437856,,,,,,,,,,
4572385869920,Fluted / Hammered Dome,165,260,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385771616,Fluted / Hammered Dome,165,260,40,Metal,Easy Fit,Yellow Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385771616,Fluted / Hammered Dome,165,260,40,Metal,Easy Fit,Green Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385771616,Fluted / Hammered Dome,165,260,40,Metal,Easy Fit,Chrome,E27,Vintage Industrial,"Kitchen, Dining Room, Hallway"
4572385771616,Fluted / Hammered Dome,165,260,40,Metal,Easy Fit,Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4572385771616,Fluted / Hammered Dome,165,260,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
4536806408288,,,,,,,,,,
8021898264826,Bowel,140,360,40,Metal,Easy Fit,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Blue,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Navy Blue,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Brushed Silver,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Burgundy,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Brushed Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Cyan Blue,E27,Vintage Industrial,"Kids Room, Living Room, Kitchen [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8021902819578,Bowel,140,360,40,Metal,Easy Fit,Red,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
4536806375520,,,,,,,,,,
8005785288954,Decorative Glass Lampshade,120,160,40,Glass,Easy Fit,Blue & White,E27,Contemporary Art Deco Glass,"Living Room, Hallway, Dining [VERIFY]"
8005785288954,Decorative Glass Lampshade,120,160,40,Glass,Easy Fit,Multi-Colour,E27,Contemporary Art Deco Glass,"Living Room, Hallway, Dining [VERIFY]"
8005785288954,,,,,,,,,,
8162856403194,Wide / Truncated Cone,143,360,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8162856403194,,,,,,,,,,
8162856403194,Wide / Truncated Cone,143,360,40,Metal,Easy Fit,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8162856403194,Wide / Truncated Cone,143,360,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8162856403194,Wide / Truncated Cone,143,360,40,Metal,Easy Fit,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8162856403194,Wide / Truncated Cone,143,360,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8162856403194,Wide / Truncated Cone,143,360,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8005774409978,Globe Shape,105,150,40,Glass,Easy Fit,Multi-Colour,E27,Contemporary Art Deco Glass,"Living Room, Dining [VERIFY]"
8005774409978,,,,,,,,,,
4417293221984,,,,,,,,,,
5294722089121,Cone,110,250,40,Glass,Easy Fit,Amber / Warm Tone,E27,Contemporary Art Deco Glass,"Living Room, Dining [VERIFY]"
8009117368570,,,,,,,,,,
5866936369313,Saucer Dome,70,240,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
5866936369313,Saucer Dome,70,240,40,Metal,Easy Fit,Rustic Red,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5866936369313,Saucer Dome,70,240,40,Metal,Easy Fit,Brushed Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5866936369313,Saucer Dome,70,240,40,Metal,Easy Fit,Brushed Silver,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5866936369313,Saucer Dome,70,240,40,Metal,Easy Fit,Brushed Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8022239478010,Cone,80,220,40,Metal,Easy Fit,Rose Gold,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8022239478010,Cone,80,220,40,Metal,Easy Fit,Yellow Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8022239478010,Cone,80,220,40,Metal,Easy Fit,Green Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8022239478010,Cone,100,180,40,Metal,[VERIFY],Chrome,[VERIFY],Vintage Industrial,"Kitchen, Dining Room, Hallway"
8022239478010,Cone,80,220,40,Metal,Easy Fit,Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8022239478010,Cone,80,220,40,Metal,Easy Fit,Satin Nickel,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
8173344653562,Wide Cone,110,400,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
8173344653562,,,,,,,,,,
8173344653562,Wide Cone,110,400,40,Metal,Easy Fit,Orange,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8173344653562,Wide Cone,110,400,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8173344653562,Wide Cone,110,400,40,Metal,Easy Fit,Green,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8173344653562,Wide Cone,110,400,40,Metal,Easy Fit,Yellow,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
8173344653562,Wide Cone,110,400,40,Metal,Easy Fit,Grey,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
5294722318497,Temple- Dome,155,280,40,Glass,Easy Fit,Amber / Warm Tone,E27,Contemporary Art Deco Glass,"Living Room, Dining [VERIFY]"
5753048727713,,,,,,,,,,
5866683498657,,,,,,,,,,
5556566655137,,,,,,,,,,
5347300966561,Cone,80,220,40,Metal,Easy Fit,Black,E27,Vintage Industrial,"Kitchen, Cafe, Dining [VERIFY]"
5347300966561,Cone,80,220,40,Metal,Easy Fit,Yellow Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5347300966561,Cone,80,220,40,Metal,Easy Fit,Green Brass,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5347300966561,Cone,80,220,40,Metal,Easy Fit,French Gold,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5347300966561,Cone,80,220,40,Metal,Easy Fit,Rose Gold,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5347300966561,Cone,80,220,40,Metal,Easy Fit,Copper,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
5347300966561,Cone,80,220,40,Metal,Easy Fit,White,E27,Vintage Industrial,"Kitchen, Dining, Living Room [VERIFY]"
5347300966561,Cone,80,220,40,Metal,Easy Fit,Chrome,E27,Vintage Industrial,"Kitchen, Dining, Hallway [VERIFY]"
