sku,price,compare_at_price,inventory_qty,product_title
LHSHE27CO,4.89,,517,Antique Copper E27 Metal Lamp Bulb Holdermetal~2935
LHSHE27YB,4.89,,832,"Yellow Brass E27 Metal Lamp, Bulb Holder Metal~2932"
LHSHE27FG,4.89,,224,French Gold E27 Metal Lamp/Bulb Holder Ideal for Vintage Edison Filament Bulbs Antique metal~2928
RD205PK,4.29,,382,M10 Threaded Zinc Alloy Pipe Nipple Lamp Repair Part 20mm Long 5pcs~2899
WR5PK,1.99,,1038,M10 Threaded Lamp Repair Hardware Assortment Pipe Nipples Washers 5pcs~2894
NT35PK,5.09,,104,M10 3mm fine Pitch Threaded Aluminum Nut 5 Pack~2893
NT55PK,5.19,,246,M10 Metric Coarse Thread Hexagon Nut Aluminum 5mm Long 5pcs~2892
NFNC172PK,11.94,,32,AC Power Connector For 17mm Round LED Neon Flex Accessories ~2868
NFNC173PK,17.91,,21,AC Power Connector For 17mm Round LED Neon Flex Accessories ~2868
NFEC8,1.49,,471,LED Neon End Caps 8x16mm Flex Accessories~2865
NFEC15,1.49,,35,End Cap For 15mm x 16mm LED Neon Flex Accessories~2864
NFER17,1.49,,4,End Cap For 17mm Round LED Neon Flex Accessories~2863
NFEC14,1.59,,251,14 x 25mm LED Neon Flex End Cap Cover for Neon Light ~2862
NFMR17,1.99,,1779,Mounting Clip For 17mm Round LED Neon Flex Accessories~2859
NFCP7,1.39,,47,Connecting Pin 7mm LED Neon Flex Accessories ~2857
NFCP9,1.49,,595,Connecting Pin 9mm LED Neon Flex Accessories~2856
CRSF100BC,4.48,,583,Vintage Ceiling Rose in Light Fittings~2830
CRSF100RR,4.48,,34,Rustic Red Single Point Drop Outlet Ceiling Rose~2829
CRSF120RO,4.48,,262,1 Outlet Rose Gold Metal Ceiling Rose 120x25mm~2810
CRSF120FG,4.48,,19,1 Outlet French Gold Metal Ceiling Rose 120x25mm~2801
CRSF120CH,4.48,,301,LEDSone industrial Vintage 1 Outlet Chrome Metal Ceiling Rose 120x25mm~2792
LHPHE27CO,6.19,,77,Plain Holder Copper E27 Socket Ceramic Light Bulb Holder~2746
LHBBE27CO,5.29,,178,Smooth Holder Copper retro antique vintage lamp holder~2728
LHS6E27CH,5.49,,21,LEDSone industrial vintage Retro Chrome Industrial Lamp Light Bulb Holder Modern~2685
LHS6E27BY,5.49,,14,Industrial Bronze & Brass E27 Lamp Light Bulb holder~2684
LHS6E27BY,5.49,,14,Industrial Bronze & Brass E27 Lamp Light Bulb holder~2684
LHS6E27CH,5.49,,21,Industrial Bronze & Brass E27 Lamp Light Bulb holder~2684
LHS6E27CO,5.49,,46,Industrial Bronze & Brass E27 Lamp Light Bulb holder~2684
SWGS3GGD,6.59,,129,Antique Brass 3 Gang 2 Way Light Switch~2636
ENC7882,17.59,,77,Modern Pink Color Lampshade Industrial Retro Ceiling Pendant Lightshade ~2559
ENC6825,17.59,,625,Vintage Industrial Metal Cone Pendant Light ~2555
ENC6824,15.28,,625,Vintage Industrial Metal Cone Pendant Light ~2555
ENC10347,17.59,,371,Vintage Industrial Metal Cone Pendant Light ~2555
ENC6323,15.28,,371,Vintage Industrial Metal Cone Pendant Light ~2555
ENC6886,17.59,,484,Vintage Industrial Metal Cone Pendant Light ~2555
